query,target,evalue,bits,alntmscore,qtmscore,ttmscore,rmsd,alnlen,qcov,tcov,fident,similarity_class,explanation
query,1EST_elastase_related_protease,3.9059999999999994e-22,844,0.9423,0.9382,0.8739,1.783,242,1.0,1.0,0.376,high_similarity,"Target 1EST_elastase_related_protease has query-normalised TM-score 0.938, query coverage 1.000, target coverage 1.000, sequence identity 0.376, RMSD 1.78, and E-value 3.91e-22. Classified as high_similarity."
query,2CHA_chymotrypsin_close_homolog_B,2.273e-11,372,0.9471,0.5368,0.8984,1.568,130,0.561,0.992,0.423,moderate_similarity,"Target 2CHA_chymotrypsin_close_homolog_B has query-normalised TM-score 0.537, query coverage 0.561, target coverage 0.992, sequence identity 0.423, RMSD 1.57, and E-value 2.27e-11. Classified as moderate_similarity."
query,2CHA_chymotrypsin_close_homolog_F,2.273e-11,372,0.9471,0.5368,0.8984,1.568,130,0.561,0.992,0.423,moderate_similarity,"Target 2CHA_chymotrypsin_close_homolog_F has query-normalised TM-score 0.537, query coverage 0.561, target coverage 0.992, sequence identity 0.423, RMSD 1.57, and E-value 2.27e-11. Classified as moderate_similarity."
query,2CHA_chymotrypsin_close_homolog_C,4.549e-07,210,0.8999,0.3822,0.8474,1.754,96,0.413,0.969,0.468,weak_similarity,"Target 2CHA_chymotrypsin_close_homolog_C has query-normalised TM-score 0.382, query coverage 0.413, target coverage 0.969, sequence identity 0.468, RMSD 1.75, and E-value 4.55e-07. Classified as weak_similarity."
query,2CHA_chymotrypsin_close_homolog_G,4.549e-07,210,0.8999,0.3822,0.8474,1.754,96,0.413,0.969,0.468,weak_similarity,"Target 2CHA_chymotrypsin_close_homolog_G has query-normalised TM-score 0.382, query coverage 0.413, target coverage 0.969, sequence identity 0.468, RMSD 1.75, and E-value 4.55e-07. Classified as weak_similarity."
query,1PII_pra_isomerase_beta_alpha_barrel,7.017,1,0.7708,0.04788,0.02392,1.11,11,0.049,0.024,0.181,low_similarity,"Target 1PII_pra_isomerase_beta_alpha_barrel has query-normalised TM-score 0.048, query coverage 0.049, target coverage 0.024, sequence identity 0.181, RMSD 1.11, and E-value 7.02e+00. Classified as low_similarity."
